relative_geometry_bias | 55683389 bytes | epoch=10 | minADE6=0.8409378528594971 | /home/server01/M/Results/SEAM_AV2_20EPOCH_4TEST_MAXRES_20260903-114512/03_relative_geometry_bias/checkpoints/epoch_10-minADE6_0.8409378528594971.ckpt
relative_geometry_bias | 55683836 bytes | epoch=11 | minADE6=0.8335214853286743 | /home/server01/M/Results/SEAM_AV2_20EPOCH_4TEST_MAXRES_20260903-114512/03_relative_geometry_bias/checkpoints/epoch_11-minADE6_0.8335214853286743.ckpt
relative_geometry_bias | 55684219 bytes | epoch=12 | minADE6=0.8187333345413208 | /home/server01/M/Results/SEAM_AV2_20EPOCH_4TEST_MAXRES_20260903-114512/03_relative_geometry_bias/checkpoints/epoch_12-minADE6_0.8187333345413208.ckpt
relative_geometry_bias | 55684666 bytes | epoch=13 | minADE6=0.7915321588516235 | /home/server01/M/Results/SEAM_AV2_20EPOCH_4TEST_MAXRES_20260903-114512/03_relative_geometry_bias/checkpoints/epoch_13-minADE6_0.7915321588516235.ckpt
relative_geometry_bias | 55685113 bytes | epoch=14 | minADE6=0.7617287039756775 | /home/server01/M/Results/SEAM_AV2_20EPOCH_4TEST_MAXRES_20260903-114512/03_relative_geometry_bias/checkpoints/epoch_14-minADE6_0.7617287039756775.ckpt
relative_geometry_bias | 55685496 bytes | epoch=15 | minADE6=0.7674170136451721 | /home/server01/M/Results/SEAM_AV2_20EPOCH_4TEST_MAXRES_20260903-114512/03_relative_geometry_bias/checkpoints/epoch_15-minADE6_0.7674170136451721.ckpt
relative_geometry_bias | 55685943 bytes | epoch=16 | minADE6=0.7443943023681641 | /home/server01/M/Results/SEAM_AV2_20EPOCH_4TEST_MAXRES_20260903-114512/03_relative_geometry_bias/checkpoints/epoch_16-minADE6_0.7443943023681641.ckpt
relative_geometry_bias | 55686390 bytes | epoch=17 | minADE6=0.7341637015342712 | /home/server01/M/Results/SEAM_AV2_20EPOCH_4TEST_MAXRES_20260903-114512/03_relative_geometry_bias/checkpoints/epoch_17-minADE6_0.7341637015342712.ckpt
relative_geometry_bias | 55686773 bytes | epoch=18 | minADE6=0.7172605991363525 | /home/server01/M/Results/SEAM_AV2_20EPOCH_4TEST_MAXRES_20260903-114512/03_relative_geometry_bias/checkpoints/epoch_18-minADE6_0.7172605991363525.ckpt
relative_geometry_bias | 55687220 bytes | epoch=19 | minADE6=0.7187349200248718 | /home/server01/M/Results/SEAM_AV2_20EPOCH_4TEST_MAXRES_20260903-114512/03_relative_geometry_bias/checkpoints/epoch_19-minADE6_0.7187349200248718.ckpt
